                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4694,                0.74234,                  1.937,                 0.8656,                0.86847,                0.94173,                0.74308,                 1.7073,                 1.1763,                 2.0767,             0.00054881,             0.00054881,             0.00054881
                      2,                  1.672,                0.93002,                 2.0321,                0.89055,                0.88398,                0.95507,                0.74912,                 1.7807,                 1.0313,                 2.0784,             0.00099513,             0.00099513,             0.00099513
                      3,                 1.7591,                 1.0293,                 2.0927,                0.89423,                 0.8517,                0.93998,                0.69326,                 1.9965,                 1.1487,                 2.2172,              0.0013314,              0.0013314,              0.0013314
                      4,                  1.829,                  1.123,                 2.1137,                 0.9189,                0.89511,                0.95938,                0.71946,                 1.9177,                 1.0693,                 2.1762,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.7666,                0.99524,                 2.0944,                0.90741,                0.89215,                0.96091,                0.74184,                 1.7676,                 1.0136,                 2.1063,              0.0010069,              0.0010069,              0.0010069
                      6,                  1.698,                0.94117,                 2.0597,                 0.9197,                0.91892,                0.96903,                0.75999,                 1.7732,                 0.9754,                 2.0911,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.5969,                0.84429,                 2.0004,                0.92305,                 0.9392,                 0.9702,                0.77891,                 1.6214,                0.87205,                 2.0256,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.5352,                0.78585,                 1.9645,                0.94238,                0.91698,                0.97752,                0.80594,                 1.5117,                0.79007,                  1.973,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.4529,                0.70338,                 1.9191,                0.95143,                0.93817,                 0.9839,                0.81642,                 1.4985,                0.69918,                 1.9631,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.4032,                0.66961,                 1.9058,                 0.9577,                0.94193,                0.98626,                0.82898,                 1.4608,                 0.6695,                 1.9315,              0.0001817,              0.0001817,              0.0001817
