                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.041,                 2.1755,                 1.1292,                0.99449,                0.30673,                0.86855,                0.67809,                0.85195,                 2.4811,                 1.0211,             0.00054881,             0.00054881,             0.00054881
                      2,                 1.0347,                0.98201,                 1.1242,                0.95271,                0.91528,                0.96701,                0.73952,                0.87878,                0.92424,                 1.0304,              0.0010498,              0.0010498,              0.0010498
                      3,                 1.0657,                0.94633,                 1.1331,                0.81053,                 0.8727,                0.90268,                0.66177,                0.95163,                0.88727,                 1.0915,              0.0014958,              0.0014958,              0.0014958
                      4,                 1.0862,                0.95829,                 1.1475,                0.89133,                0.90481,                0.94778,                0.70688,                0.92276,                 0.7812,                 1.0691,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.0518,                 0.8832,                 1.1269,                0.89852,                0.78538,                0.86007,                0.62536,                 1.0423,                 0.8553,                 1.1395,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.0225,                0.84122,                 1.1159,                0.92356,                0.93111,                0.96843,                0.74298,                0.85541,                 0.6454,                 1.0246,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.0128,                0.82158,                 1.0994,                0.94532,                0.92311,                0.97603,                0.75634,                0.84719,                0.57376,                 1.0371,              0.0011719,              0.0011719,              0.0011719
                      8,                0.96358,                0.75254,                 1.0913,                0.94199,                0.94751,                0.98211,                0.75678,                0.83698,                0.55445,                 1.0262,              0.0010894,              0.0010894,              0.0010894
                      9,                0.95427,                0.72032,                 1.0823,                0.93196,                0.93701,                 0.9749,                 0.7425,                0.89423,                0.57927,                 1.0352,              0.0010069,              0.0010069,              0.0010069
                     10,                0.94214,                0.70016,                 1.0712,                0.96106,                0.95822,                0.98658,                0.77981,                0.80897,                0.49255,                0.99934,             0.00092435,             0.00092435,             0.00092435
                     11,                0.77538,                0.52782,                0.98611,                0.95708,                 0.9363,                0.97691,                0.77726,                0.76917,                0.49759,                0.98128,             0.00084184,             0.00084184,             0.00084184
                     12,                0.75881,                0.50064,                 0.9778,                0.96986,                0.93829,                0.98816,                0.79748,                0.76551,                0.46323,                0.97391,             0.00075932,             0.00075932,             0.00075932
                     13,                0.73505,                0.45854,                0.96604,                0.94809,                0.94729,                 0.9828,                 0.7901,                0.75635,                0.46881,                0.97738,              0.0006768,              0.0006768,              0.0006768
                     14,                0.70685,                0.43937,                0.94874,                0.96609,                0.94747,                0.98849,                0.81184,                0.72474,                0.43137,                0.96261,             0.00059429,             0.00059429,             0.00059429
                     15,                0.69575,                0.42064,                0.94966,                0.96765,                0.95973,                0.98462,                0.80399,                 0.7326,                0.42054,                0.95977,             0.00051177,             0.00051177,             0.00051177
                     16,                0.67523,                0.39736,                0.93468,                0.97101,                0.95178,                0.98458,                0.81143,                0.74601,                0.40852,                0.97156,             0.00042925,             0.00042925,             0.00042925
                     17,                0.64622,                0.37697,                0.92528,                0.97218,                0.96909,                0.99182,                0.83646,                0.68563,                0.38034,                0.94666,             0.00034674,             0.00034674,             0.00034674
                     18,                 0.6299,                0.36537,                0.91753,                0.97564,                0.97718,                0.99262,                0.83601,                0.68168,                0.35919,                 0.9438,             0.00026422,             0.00026422,             0.00026422
                     19,                0.60647,                0.34263,                0.90288,                0.97621,                  0.979,                0.99302,                0.84511,                0.66102,                0.34968,                0.93396,              0.0001817,              0.0001817,              0.0001817
                     20,                0.59309,                0.33405,                0.90046,                 0.9777,                0.97565,                0.99267,                0.84834,                0.64581,                0.33854,                0.93043,             9.9187e-05,             9.9187e-05,             9.9187e-05
